ID;Name;Frequency
422;Алёна;73
423;Вера;69
424;Диана;58
425;Ульяна;55
426;Кристина;54
427;Маргарита;51
428;Кира;50
429;Ольга;48
430;Майя;47
431;Алина;45
432;Ирина;40
433;Амина;37
434;Юлия;33
435;Ника;31
436;Евгения;29
437;Татьяна;29
438;Ярослава;29
439;Яна;29
440;Ангелина;28
441;Сафия;28
442;Злата;27
443;Елена;26
444;Мирослава;25
445;Есения;25
446;Аделина;23
447;Стефания;21
448;Любовь;19
449;Надежда;19
450;Элина;19
451;Милена;19
452;Нина;17
453;Светлана;16
454;Лидия;16
455;Николь;15
456;Агата;15
457;Самира;14
458;Лилия;14
459;Наталья;14
460;Эвелина;13
461;Ясмина;13
462;Дарина;13
463;Карина;12
464;Каролина;12
465;Малика;12
466;Лада;12
467;Марина;12
468;Эмилия;11
469;Олеся;11
470;Антонина;10
471;Марианна;10
472;Мадина;10
473;Тамара;10
474;Мила;10
475;Алия;10
476;Марта;9
477;Серафима;9
478;Зоя;9
479;Анисия;9
480;Ариана;9
481;Сабина;9
482;Анжелика;9
1101;Мария;257
1102;Анна;237
1103;София;222
1104;Виктория;218
1105;Анастасия;209
1106;Варвара;209
1107;Екатерина;199
1108;Елизавета;191
1109;Полина;190
1110;Александра;174
1111;Алиса;171
1112;Дарья;160
1113;Ксения;124
1114;Софья;124
1115;Валерия;123
1116;Вероника;114
1117;Арина;113
1118;Ева;111
1119;Василиса;102
1120;Милана;100
1121;Ульяна;96
1122;Кира;84
1123;Вера;73
1124;Маргарита;65
1125;Кристина;56
1126;Таисия;54
1127;Алёна;52
1128;Ольга;50
1129;Алина;48
1130;Ангелина;46
1131;Амина;45
1132;Яна;39
1133;Диана;37
1134;Мирослава;37
1135;Стефания;36
1136;Юлия;36
1137;Татьяна;32
1138;Есения;31
1139;Злата;31
1140;Эмилия;30
1141;Аделина;27
1142;Элина;27
1143;Марьям;26
1144;Ярослава;26
1145;Евгения;25
1146;Николь;25
1147;Марина;24
1148;Ника;24
1149;Милена;20
1150;Надежда;20
1151;Майя;19
1152;Агата;18
1153;Дарина;18
1154;Сафия;18
1155;Елена;17
1156;Ясмина;17
1157;Ирина;16
1158;Олеся;16
1159;Светлана;16
1160;Серафима;16
1161;Карина;15
1162;Любовь;15
1163;Оливия;14
1164;Лилия;13
1165;Нина;13
1166;Амелия;12
1167;Антонина;12
1168;Малика;12
1169;Марта;12
1170;Марьяна;12
1171;Мила;12
1172;Амира;11
1173;Агния;11
1174;Ариана;11
1175;Валентина;11
1176;Василина;10
1177;Камила;10
1178;Каролина;10
1179;Лидия;10
1180;Эвелина;10
1181;Алия;9
1182;Адель;9
1183;Владислава;9
1184;Зоя;9
1185;Камилла;9
1186;Людмила;9
1187;Наталья;9
1188;Самира;9
1189;Фатима;9
1190;Аиша;8
1191;Виолетта;8
1192;Милослава;8
1193;Нелли;8
1194;Сабина;8
1195;Анисия;7
1196;Аниса;7
1197;Аглая;7
1198;Алсу;7
1199;Мадина;7
1200;Марианна;7
1201;Мария;248
1202;София;210
1203;Анастасия;201
1204;Полина;188
1205;Варвара;166
1206;Алиса;165
1207;Анна;163
1208;Александра;161
1209;Виктория;158
1210;Ксения;156
1211;Елизавета;148
1212;Дарья;141
1213;Екатерина;136
1214;Арина;135
1215;Софья;121
1216;Василиса;112
1217;Милана;99
1218;Вероника;87
1219;Валерия;84
1220;Ева;78
1221;Ульяна;74
1222;Кира;71
1223;Вера;61
1224;Татьяна;53
1225;Таисия;52
1226;Маргарита;51
1227;Алёна;47
1228;Юлия;46
1229;Кристина;45
1230;Алина;42
1231;Диана;42
1232;Амина;37
1233;Мирослава;37
1234;Ольга;37
1235;Ангелина;35
1236;Евгения;30
1237;Стефания;27
1238;Яна;26
1239;Есения;25
1240;Злата;25
1241;Елена;24
1242;Ирина;23
1243;Аделина;22
1244;Агата;21
1245;Эмилия;20
1246;Николь;19
1247;Элина;19
1248;Майя;18
1249;Надежда;18
1250;Марина;17
1251;Сафия;17
1252;Дарина;16
1253;Ярослава;16
1254;Агния;15
1255;Нина;15
1256;Айлин;14
1257;Зоя;14
1258;Серафима;14
1259;Ясмина;14
1260;Лидия;13
1261;Аиша;12
1262;Лилия;12
1263;Марианна;12
1264;Милена;12
1265;Ника;12
1266;Раяна;12
1267;Светлана;12
1268;Антонина;11
1269;Камилла;11
1270;Сабина;11
1271;Самира;11
1272;Аглая;10
1273;Ариана;10
1274;Наталья;10
1275;Оливия;10
1276;Алия;9
1277;Алисия;9
1278;Аниса;9
1279;Виолетта;9
1280;Камила;9
1281;Лейла;9
1282;Любовь;9
1283;Малика;9
1284;Марьям;9
1285;Тамара;9
1286;Альбина;8
1287;Евдокия;8
1288;Мила;8
1289;Амалия;7
1290;Анфиса;7
1291;Асия;7
1292;Карина;7
1293;Олеся;7
1294;Фатима;7
1295;Анисия;6
1296;Аяна;6
1297;Жасмина;6
1298;Каролина;6
1299;Лиана;6
1300;Мадина;6
1301;Мария;284
1302;Анна;242
1303;София;224
1304;Анастасия;202
1305;Полина;199
1306;Виктория;187
1307;Ксения;180
1308;Елизавета;163
1309;Алиса;160
1310;Александра;157
1401;Мария;242
1402;София;237
1403;Виктория;234
1404;Анастасия;227
1405;Анна;224
1406;Полина;201
1407;Дарья;195
1408;Алиса;193
1409;Александра;173
1410;Варвара;168
1501;Мария;289
1502;Анастасия;216
1503;София;216
1504;Дарья;213
1505;Анна;204
1506;Виктория;194
1507;Полина;182
1508;Елизавета;175
1509;Александра;165
1510;Алиса;163
1601;Виктория;282
1602;Мария;257
1603;София;221
1604;Анастасия;218
1605;Анна;206
1606;Елизавета;198
1607;Алиса;192
1608;Александра;182
1609;Полина;174
1610;Дарья;172
1701;Мария;283
1702;София;252
1703;Виктория;239
1704;Алиса;236
1705;Анна;227
1706;Анастасия;227
1707;Полина;189
1708;Александра;184
1709;Ксения;178
1710;Елизавета;172
1801;Мария;266
1802;Анна;242
1803;Виктория;238
1804;Анастасия;219
1805;София;217
1806;Алиса;203
1807;Александра;199
1808;Полина;193
1809;Дарья;171
1810;Елизавета;169
1901;Мария;260
1902;Анна;256
1903;София;249
1904;Анастасия;222
1905;Виктория;219
1906;Алиса;203
1907;Полина;199
1908;Дарья;192
1909;Александра;185
1910;Елизавета;177
2001;Мария;303
2002;София;257
2003;Виктория;207
2004;Анна;198
2005;Полина;197
2006;Елизавета;189
2007;Анастасия;183
2008;Алиса;168
2009;Арина;158
2010;Дарья;153
2101;София;284
2102;Мария;279
2103;Анна;222
2104;Виктория;188
2105;Полина;188
2106;Анастасия;185
2107;Алиса;185
2108;Александра;163
2109;Дарья;152
2110;Екатерина;152
1411;Екатерина;168
2201;София, Софья;317
2202;Мария;251
2203;Анна;236
2204;Анастасия;217
2205;Виктория;215
2206;Полина;214
2207;Алиса;197
2208;Елизавета;178
2209;Варвара;161
2210;Александра;152
2301;София, Софья;326
2302;Анна;242
2303;Мария;239
2304;Виктория;200
2305;Екатерина;197
2306;Алиса;188
2307;Анастасия;180
2308;Александра;172
2309;Елизавета;170
2310;Варвара;162
1412;Елизавета;158
1413;Ксения;149
1414;Арина;142
1415;Василиса;134
1416;Вероника;111
1417;Валерия;104
1418;Ева;101
1419;Софья;98
1420;Милана;92
1421;Кира;91
1422;Ульяна;79
1423;Вера;60
1424;Маргарита;60
1425;Алина;55
1426;Кристина;53
1427;Мирослава;51
1428;Таисия;51
1429;Алёна;48
1430;Диана;48
1431;Ольга;48
1432;Амина;46
1433;Юлия;41
1434;Евгения;40
1435;Татьяна;34
1436;Ангелина;33
1437;Есения;32
1438;Элина;32
1439;Ника;31
1440;Ирина;30
1441;Майя;28
1442;Стефания;26
1443;Дарина;25
1444;Злата;22
1445;Марина;22
1446;Эмилия;22
1447;Агата;21
1448;Яна;21
1449;Николь;20
1450;Аделина;19
1451;Елена;19
1452;Любовь;19
1453;Агния;17
1454;Лидия;17
1455;Марта;17
1456;Надежда;17
1457;Нина;17
1458;Светлана;17
1459;Ясмина;17
1460;Марианна;16
1461;Сафия;16
1462;Евдокия;15
1463;Камила;15
1464;Наталья;15
1465;Амелия;14
1466;Марьям;14
1467;Милена;14
1468;Василина;13
1469;Виолетта;13
1470;Лилия;13
1471;Оливия;13
1472;Алия;12
1473;Фатима;12
1474;Аяна;11
1475;Камилла;11
1476;Мадина;11
1477;Самира;11
1478;Ариана;10
1479;Евангелина;10
1480;Карина;10
1481;Каролина;10
1482;Малика;10
1483;Раяна;10
1484;Сабина;10
1485;Амалия;9
1486;Зоя;9
1487;Катерина;9
1488;Марьяна;9
1489;Олеся;9
1490;Серафима;9
1491;Тамара;9
1492;Эмма;9
1493;Ярослава;9
1494;Аврора;8
1495;Аиша;8
1496;Антонина;8
1497;Валентина;8
1498;Владислава;8
1499;Дана;8
1500;Мия;8
2311;Полина;152
2312;Дарья;137
2313;Арина;135
2314;Ксения;113
2315;Ева;110
2316;Василиса;105
2317;Вероника;100
2318;Милана;89
2319;Вера;82
2320;Ульяна;80
2321;Маргарита;78
2322;Валерия;73
2323;Таисия;72
2324;Кира;66
2325;Диана;55
2326;Алёна;54
2327;Амина;51
2328;Есения;46
2329;Стефания;45
2330;Мирослава;44
2331;Алина;44
2332;Ангелина;43
2333;Яна;41
2334;Ольга;39
2335;Юлия;37
2336;Эмилия;34
2337;Кристина;32
2338;Злата;31
2339;Евгения;27
