ID;Name;Frequency
1908;Даниил;194
1909;Лев;176
1910;Андрей;156
2001;Александр;252
2002;Максим;246
2003;Михаил;235
2004;Артём;228
2005;Иван;206
2006;Дмитрий;185
2007;Даниил;162
2008;Егор;140
2009;Андрей;135
2010;Алексей;124
2101;Максим;286
2102;Александр;263
2103;Михаил;231
2104;Артём;217
2105;Иван;216
2106;Дмитрий;196
2107;Даниил;170
2108;Матвей;148
2109;Андрей;146
2110;Егор;131
2201;Михаил;265
2202;Максим;258
2203;Александр;250
2204;Артём, Артем;246
2205;Дмитрий;205
2206;Иван;188
2207;Даниил, Данил, Данила;187
2208;Андрей;146
2209;Егор;130
2210;Матвей;124
2301;Александр;285
2302;Михаил;263
2303;Максим;251
2304;Артём;224
2305;Дмитрий;191
2306;Даниил;180
2307;Егор;175
2308;Иван;172
2309;Андрей;144
2310;Кирилл;132
2311;Матвей;131
2312;Марк;125
2313;Роман;124
2314;Никита;116
2315;Тимофей;108
2316;Алексей;107
2317;Илья;102
2318;Ярослав;101
2319;Владимир;96
2320;Фёдор;89
2321;Константин;85
2322;Николай;73
2323;Лев;70
2324;Владислав;63
2325;Платон;60
2326;Сергей;60
2327;Степан;59
2328;Арсений;56
2329;Павел;55
2330;Давид;54
2331;Тимур;53
2332;Георгий;52
2333;Денис;52
2334;Евгений;51
2335;Глеб;48
2336;Григорий;48
2337;Мирон;44
2338;Макар;42
2339;Семён;42
2340;Данила;42
